ListingMonth,host_total_listings,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,PricePerNight
8.7,2,4,1,1,1,2,2,39,96,1.09,125
1.9,1,3,1,1,1,1,1,4,100,0.59,87
2.4,2,4,2,2,2,1,2,62,93,2.88,121
1.3,8,12,1,4,6,10,2,18,98,2.56,34
6.1,896,4,1,1,2,2,2,10,96,5.77,116
1.7,117,5,2,2,2,1,3,34,98,4.08,306
5.2,9,8,1.5,3,4,6,2,223,98,5.06,98
3.4,1,6,1,2,3,2,1,67,98,1.66,118
5.1,2,6,1,3,3,6,2,85,100,2.58,127
10,8,6,1,2,3,2,32,46,86,0.39,103
3.5,38,8,1.5,1,6,4,2,23,97,5.19,120
3.6,10,2,1,1,1,1,1,84,86,3.64,39
5.3,12,2,1,1,1,1,3,27,99,0.43,163
6.3,2,4,1,2,2,4,2,66,100,2.12,247
1.1,2,2,1,1,1,1,4,6,100,0.97,53
3.6,3,4,1,2,2,4,3,39,95,1.65,79
4.4,3,2,1,1,1,1,2,81,100,1.57,71
8.4,1,2,1,1,1,2,2,6,100,1,111
1.5,2,5,1,2,2,1,2,61,96,3.58,69
3.3,2,2,1.5,1,0,1,1,8,90,1.55,53
4,1,2,1,1,1,1,3,62,100,3.15,59
5.7,1,5,1,2,2,1,2,3,100,0.57,95
3.9,5,2,1,1,1,1,2,1,100,0.24,42
4.6,1,8,2,3,3,8,3,83,96,1.55,278
4.8,1,6,2,2,3,3,4,79,99,1.72,304
6.5,56,6,1,2,4,4,1,14,90,2.75,133
5.4,15,2,1,1,1,1,1,26,93,4.29,101
2.2,3,5,1,1,3,2,2,9,100,2.93,81
1.1,1,2,1,1,1,2,1,44,99,3.85,73
6.8,0,1,1,1,1,1,1,1,100,0.56,21
4.3,1,5,2,2,2,4,2,118,96,4.24,99
0.5,19,2,1,1,1,1,1,7,100,3.96,42
9.1,2,6,3,4,3,6,4,22,99,0.29,302
7.8,4,3,1.5,1,1,1,1,193,84,2.74,50
2.3,1,3,1,1,1,2,1,93,99,3.62,82
5.4,2,2,1,1,1,2,2,80,99,2.63,62
6.1,896,6,1,2,3,4,2,13,88,0.9,142
2.3,2,10,3,4,5,8,2,94,96,3.6,303
7.2,2,3,1,0,1,2,1,313,98,9.07,65
3.4,1,2,1,0,1,1,1,18,93,0.58,113
0.6,0,2,1.5,1,1,1,1,12,90,2.57,85
6.5,56,4,1,1,2,1,1,125,98,3.24,123
8.2,5,5,1,2,1,4,2,52,95,2.42,131
0.5,19,2,1,1,1,1,1,5,100,2.88,39
2.1,34,4,2,2,2,4,2,5,100,0.54,646
2.2,58,8,2,3,3,6,1,57,85,3.38,132
5.7,3,2,1,1,1,1,2,3,100,0.56,62
1.3,569,2,1,1,1,1,1,10,100,6.52,48
4.1,24,1,1,1,4,1,5,11,85,0.3,148
4,2,6,2.5,3,3,1,5,1,100,0.19,344
3.5,1,8,2.5,3,5,1,2,17,100,0.42,548
1.5,4,5,1,1,3,2,2,12,88,0.74,99
2.6,5,2,1,0,1,1,1,4,100,0.59,79
6.4,1,8,2,3,4,6,2,65,87,2.94,244
8.4,17,2,1,1,1,1,1,21,89,0.97,27
9.2,2,7,1,1,0,1,1,179,93,1.9,22
4.6,3,8,1,3,5,3,2,105,96,2.24,71
4.4,63,2,1,0,1,2,1,58,92,7.07,21
4,8,6,2,2,2,1,16,1,100,0.28,170
1.4,7,13,1,3,5,4,2,1,100,1,169
1.3,569,4,1,1,1,1,1,1,100,1,55
6.1,896,4,1,1,2,2,2,1,100,0.48,148
1.9,4,2,3,1,1,1,1,34,99,3.17,71
5.8,3,16,3,4,11,12,3,30,97,0.64,563
3.9,1,4,1,1,1,2,14,10,100,0.84,57
6.6,0,2,2.5,1,1,2,1,1,100,1,93
2.2,16,1,4,1,0,1,1,43,95,2.19,25
6.6,1283,2,1,1,1,2,2,7,100,1.17,178
5.1,1,2,2,1,1,2,2,109,99,1.85,154
4.7,2,10,1.5,3,5,5,1,33,100,2.53,108
6.3,1,6,1,2,4,4,2,165,93,3.42,83
5.8,1,1,1,1,1,1,1,133,94,1.93,46
1.5,3,6,2,3,3,4,2,60,94,4.76,126
0.5,19,2,1,1,1,1,1,6,87,2.4,41
0.5,0,4,1.5,2,2,2,4,6,93,1.23,59
2,1,10,2,6,6,6,2,48,99,2.18,251
1.2,1,6,1,2,2,1,2,13,100,2.03,119
1,7,2,1,1,1,1,1,9,80,2.6,44
6.6,1,6,1,3,4,4,1,90,99,2.85,348
5.4,1,3,1,1,1,2,2,1,100,0.08,76
2.5,4,8,1,2,4,5,1,158,90,8.6,153
1.2,2,6,1,3,4,5,2,29,95,2.35,97
5.1,1,2,1,1,1,1,1,95,94,1.74,45
4.8,26,5,1,2,3,1,1,88,88,3.04,119
1.4,1,4,1,2,3,1,3,23,98,1.58,117
3.6,1,2,1,1,1,1,2,31,99,1.5,88
4.4,3,2,1,1,1,2,1,62,98,3.5,67
5.6,1,3,1,1,1,2,1,35,98,3.7,131
5,2,2,1,1,1,1,2,7,97,0.79,133
4.1,24,2,1,1,1,2,1,23,95,2.96,600
7.3,0,5,1,2,3,4,2,4,100,0.9,109
1.7,117,5,2,2,4,1,3,22,95,2.29,304
0.6,0,4,1,2,2,1,2,2,100,1.15,90
5.5,1,2,1,0,1,2,14,116,91,2,60
7.4,6,1,1,1,2,1,2,6,97,0.09,116
5.6,1,2,1,1,1,2,3,26,98,3.96,80
4.7,12,8,3,3,3,6,3,122,97,2.54,298
10,8,4,1,2,1,1,32,36,85,0.44,154
7.2,1,7,1,1,3,1,1,6,100,0.55,106
5.4,15,4,2,2,3,2,1,1,100,0.21,146
